model,fpr,tpr
逻辑回归,0.08461140789246942,0.08373650911797544
逻辑回归,0.084956057211787,0.08373650911797544
逻辑回归,0.084956057211787,0.08410867138072199
逻辑回归,0.08616232982939859,0.08410867138072199
逻辑回归,0.08616232982939859,0.08522515816896167
逻辑回归,0.08650697914871618,0.08522515816896167
逻辑回归,0.08650697914871618,0.08559732043170823
逻辑回归,0.08667930380837498,0.08559732043170823
逻辑回归,0.08667930380837498,0.08634164495720134
逻辑回归,0.08702395312769257,0.08634164495720134
逻辑回归,0.08702395312769257,0.08708596948269445
逻辑回归,0.08788557642598656,0.08708596948269445
逻辑回归,0.08788557642598656,0.0893189430591738
逻辑回归,0.08891952438393934,0.0893189430591738
逻辑回归,0.08891952438393934,0.08969110532192036
逻辑回归,0.08960882302257453,0.08969110532192036
逻辑回归,0.08960882302257453,0.09043542984741347
逻辑回归,0.08978114768223333,0.09043542984741347
逻辑回归,0.08978114768223333,0.09117975437290658
逻辑回归,0.09029812166120972,0.09117975437290658
逻辑回归,0.09029812166120972,0.09155191663565314
逻辑回归,0.09064277098052731,0.09155191663565314
逻辑回归,0.09064277098052731,0.09192407889839971
逻辑回归,0.09098742029984491,0.09192407889839971
逻辑回归,0.09098742029984491,0.09266840342389282
逻辑回归,0.0911597449595037,0.09266840342389282
逻辑回归,0.0911597449595037,0.09304056568663938
逻辑回归,0.0915043942788213,0.09304056568663938
逻辑回归,0.0915043942788213,0.09415705247487904
逻辑回归,0.09167671893848009,0.09415705247487904
逻辑回归,0.09167671893848009,0.09490137700037216
逻辑回归,0.0921936929174565,0.09490137700037216
逻辑回归,0.0921936929174565,0.09527353926311873
逻辑回归,0.09253834223677408,0.09527353926311873
逻辑回归,0.09253834223677408,0.0963900260513584
逻辑回归,0.09322764087540927,0.0963900260513584
逻辑回归,0.09322764087540927,0.09676218831410495
逻辑回归,0.09529553679131483,0.09676218831410495
逻辑回归,0.09529553679131483,0.0971343505768515
逻辑回归,0.09598483542995002,0.0971343505768515
逻辑回归,0.09598483542995002,0.09787867510234462
逻辑回归,0.09650180940892641,0.09787867510234462
逻辑回归,0.09650180940892641,0.09825083736509117
逻辑回归,0.0970187833879028,0.09825083736509117
逻辑回归,0.0970187833879028,0.09862299962783774
逻辑回归,0.0975357573668792,0.09862299962783774
逻辑回归,0.0975357573668792,0.0989951618905843
逻辑回归,0.097708082026538,0.0989951618905843
逻辑回归,0.097708082026538,0.09936732415333085
